แต่ละวัน	ควรสร้างสรรค์	สิ่งแปลกใหม่	เช่นปั่นไฟ	โดยใช้เท้า	ถีบจักรยาน	Each day we should create novel things such as making electricity by riding a bicycle rapidly.
ถ้าแต่งกาย	ไม่สมวัย	ใครใครเย้ย	ถ้าเกินเลย	ชุดแต่งกาย	ย่อมขายหน้า	Dressing not suitable for the age is despised by many and excessive clothing is shameful.
ให้คนชั่ว	เก็บทรัพย์ไว้	ไม่อยู่นาน	ในมือมาร	สินถูกผลาญ	อย่างง่ายดาย	"Let a wicked person keep the riches, so they cannot last long in the hands of the evil that easily destroys valuables."
ยิ่งเชื่อมั่น	ในตัวท่าน	นั่นยิ่งดี	ยิ่งมากมี	กำลังใจ	ให้ผลงาน	"The more self – confident you are, the better it is because you can have more will power for the result of work."
ลดความอยาก	ความมักมาก	ได้เมื่อใด	ยิ่งสุขใจ	ไม่สิ้นเปลือง	ทางอารมณ์	Whenever greediness and desire is reduced happiness and no emotional waste are found.
เสียทรัพย์ไป	ไม่ร้ายเท่า	เสียเพื่อนดี	เสียศักดิ์ศรี	ดีกว่าเสีย	ภูมิปัญญา	Losing a good friend is worse than losing the riches. A loss of dignity is better than a loss of intelligence.
พวกมุ่งใจ	ให้สำเร็จ	มีมากมาย	ยากพบได้	คือคนดี	มีคุณค่า	There are many who expect to have success but very few are found to be valuably good.
ตั้งเป้าหมาย	ทิศทางใด	ในชีวา	ยิ่งเห็นค่า	หาวิธี	ถึงจุดหมาย	Targeting your life is worth seeking various means of reaching the destination.
ทุกชีวา	เหมือนกีฬา	มิใช่เกมส์	ควรเกษม	เล่นเต็มขั้น	บั่นสิ่งพร่อง	"Every life is like sports not a game. We should be delighted to play them fully, removing our drawbacks."
หาคู่ครอง	ควรตรองดู	ให้รอบคอบ	องค์ประกอบ	"ทรัพย์,นิสัย"	ให้พิศด้วย	Looking for a spouse needs reflection and circumspection. Factors such as his or her properties and habits should be considered too.
ดูวงศา	คณาญาติ	แม่และพ่อ	อาจมากพอ	ดูนิสัย	ใครคนหนึ่ง	Considering a person's habit can be done through looking at his or her parents' and relatives.
ใครเปลี่ยนคู่	มาหลายครา	อย่าไว้ใจ	เสียนิสัย	ใครต่อใคร	ย่อมอยากลา	Don't trust those who have changed many spouses. Their bad habits make other people shun them.
ชนปัญญา	รู้ตนว่า	น้อยความรู้	พวกอวดรู้	คือผู้เขลา	หลงเงาตน	Intellectuals know themselves to have little knowledge. Pedants are silly to have rapture of their shadow.
จุดบกพร่อง	ของใครใคร	ให้ค่าได้	สื่อความหมาย	สอนเราได้	เหมือนเป็นครู	"Anyone's drawback is still worth, for it can teach us meaningfully like a teacher."
ปราชญ์ติเรา	อย่าเศร้าใจ	ให้ขื่นขม	ดีกว่าชม	โดยพวกพาล	สันดานชั่ว	Don't be sad if a philosopher blames us. This is better than being commended by wicked people.
อ่อนเกินไป	ใครต่อใคร	มักดูหมิ่น	แข็งบ้าบิ่น	แข็งเกินไป	ให้ผลร้าย	Too much submissiveness is despised by many and too much foolhardiness gives a bad result.
ความพอดี	ที่ประพฤติ	ยึดหลักธรรม	เป็นแบบนำ	กระทำตาม	โดยผู้อื่น	Behaviour of just sufficiency and holding the principles of dharma can be exemplary patterns for others.
คนมากมาย	บวชแต่กาย	ได้เท่านั้น	ตรงข้ามกัน	คนทั่วไป	บวชใจได้	"Many can ordain only their figures. In contrast, general people can ordain their hearts."
ธุดงค์ไป	กลางพนา	หานิพพาน	กลับยิ่งต้าน	การได้เป็น	โสดาบัน	Buddhist pilgrimage through the middle of the jungle is to seek Nirvana. But this is against being the attainder of the highest degree of saintship.
