แต่ละวัน,ควรสร้างสรรค์,สิ่งแปลกใหม่,เช่นปั่นไฟ,โดยใช้เท้า,ถีบจักรยาน
พึ่งตนไว้,ใช้ปัญญา,ให้ดีสุด,เป็นมนุษย์,พึ่งตนได้,เป็นนายตน
ในทุกคน,คนดูบ้าง,บางอย่างดี,ทุกคนมี,สิ่งดีใด,ให้มองตน
รู้จักพอ,หรือพอดี,มีความสุข,ยิงมากทุกข์,ถ้าอยากใคร่,ไม่รู้พอ
ชนะใจ,ในการกิน,ย่อมสิ้นโรค,หมดทุกข์โศก,กินสิ่งที่,ไม่มีภัย
จิตอาสา,มาทำงาน,ย่อมสร้างสรรค์,กลับทอนบั่น,ถ้ามุ่งมั่น,บังคับใคร
ตกเป็นทาส,จินตนา,พาเพี้ยนมาก,เหยื่อหลายหลาก,ยิ่งไหลมาก,จากโลกจริง
อย่าเอาใจ,ไปเกาะเกี่ยว,กับสิ่งใด,ปลดแอดใจ,ไม่ยึดมั่น,สิ่งทั้งปวง
โลกมายา,มาครอบคน,ให้ติดบ่วง,ล่วนแล้วกลวง,ลวงแก่นสาร,สาระจริง
คนทำชั่ว,ย่อมมัวหมอง,ในที่สุด,คนบริสุทธิ์,ย่อมสุขใจ,ในกรรมดี
ความบริสุทธิ์,ดุจดั่งส่วน,ของร่างกาย,อย่ามุ่งหมาย,ได้ผู้อื่น,ช่วยทำให้
เท็จหรือจริงๆ,ย่อมเป็นสิ่ง,รู้แก่ใจ,ก่อนพูดไป,ควรเตือนใจ,ให้พูดจริง
ธรรมชาติ,เป็นเช่นนั้น,ของมันเอง,อย่าละเลง,จินตนา,ว่าใครสร้าง
โจรผู้ร้าย,มีลวดลาย,เลห์หลายอย่าง,เก่งอำพราง,อย่างแนบเนียน,เป็นผู้ดี
หลงนิมิต,ปรุงแต่งจิต,สวดภาวนา,มีช่วยพา,เปิดปัญญา,ตาสว่าง
ไร้อุปสรรค,มักทำให้,ไม่รู้งาน,เก่งหลายด้าน,ถ้ามุ่งผ่าน,อุปสรรค
ทุกชีวา,หาได้สุข,เสมอไป,ไม่มีใคร,ไร้ปัญหา,อุปสรรค
ปัจจัยนอก,อาจผันแปร,แก้ไม่ได้,จงมุ่งหมาย,ปัจจัยใน,คือใจเรา
มนุษย์หรือ,ล่วนคือผู้,เคยทำผิด,สูงทางจิต,ถ้าคิดให้,อภัยกัน
เสียน้ำตา,มาเย้ยหยัน,ตนทำไม,ยกจิตใจ,ไม่เกาะเกี่ยว,เหตุแห่งทุกข์
เห็นแก่ได้,หมายสรรเสริญ,ผู้ให้ตน,หมิ่นไม่สน,ถ้าตนไม่,ได้ผลดี
เสื้อผ้าหรู,ดูเกินตน,คนตำหนิ,อุตริ,อวดความราย,ด้วยความเขลา
เกินพอดี,หรือจะมี,ผลดีใด,ทำอะไร,ให้พอดี,และดีพอ
เงินมีค่า,เท่าเวลา,อย่าเสียไป,จงผันให้,เกิดคุณค่า,พามั่งมี
ไม่พยายาม,แก้ปัญหา,พาผิดหลัก,เพราะอุปสรรค,เป็นหลักเกณฑ์,ในธรรมชาติ
ทุกปัญหา,ท้าให้มา,ลองแก้ไข,ถ้าไม่ไหว,จงรู้ไว้,คือชีวิต
รู้หน้าที่,สำนึกดี,มีค่าคน,ช่วยดั้นด้น,เป็นคนมี,เกียรติยศ
หลงวัตถุ,กุขึ้นมา,ตามสมมุติ,จึงมีผุด,ความคิดใด,ให้ปล่อยวาง
แย่งโหยหา,คว้าตำแหน่ง,แข่งกิเลส,เป็นต้นเหตุ,ให้ประเทศ,ด้อยพัฒนา
พวกเถื่อนถ่อย,ด้อยปัญญา,ยิ่งมากมี,พวกผู้ดี,มีใจสูง,ยิ่งยากหา
กรรมไม่ดี,มีผลร้าย,ง่ายกระทำ,กุศลกรรม,นำประโยชน์,ทำยากจริง
ใครต่อใคร,สามารถฝ่า,ในกรรมดี,มัวรอรี,ไม่ทำดี,ย่อมหมิ่นตน
ถ้าปล่อยปละ,ละเลยตน,ผลร้ายมี,หลายสิ่งดี,ที่ตนรัก,มักถูกผลาญ
มีทางออก,บอกได้ไหม,อยู่ไหนกัน,ทางออกนั้น,ไม่ควรบั่น,ทอนส่วนรวม
อยู่ไหนไหน,ใจก็มี,ความสุขได้,เพียงเลิกหมาย,ความอยากได้,จนเกินควร
ยิ่งรู้มาก,ยิ่งหลากเล่ห์,เพทุบาย,ช่างมากมาย,มักกลายเป็น,นักหลอกกิน
ทำสิ่งใด,มากเข้าไว้,ไห้ผลดี,เวลามี,สิ่งดีสอน,จงรู้ค่า
ว่างเกินไป,ในชีวา,สุดน่าหน่าย,จงมุ่งหมาย,ทำสิ่งใด,ใจอุทิศ
